Category: All categories

Day,Bird Global: (United States)
2023-08-14,34
2023-08-15,32
2023-08-16,22
2023-08-17,31
2023-08-18,29
2023-08-19,31
2023-08-20,32
2023-08-21,30
2023-08-22,38
2023-08-23,43
2023-08-24,32
2023-08-25,39
2023-08-26,51
2023-08-27,40
2023-08-28,42
2023-08-29,32
2023-08-30,40
2023-08-31,42
2023-09-01,36
2023-09-02,46
2023-09-03,40
2023-09-04,43
2023-09-05,40
2023-09-06,45
2023-09-07,37
2023-09-08,46
2023-09-09,33
2023-09-10,35
2023-09-11,39
2023-09-12,37
2023-09-13,47
2023-09-14,46
2023-09-15,56
2023-09-16,77
2023-09-17,42
2023-09-18,39
2023-09-19,49
2023-09-20,36
2023-09-21,50
2023-09-22,39
2023-09-23,34
2023-09-24,46
2023-09-25,39
2023-09-26,41
2023-09-27,32
2023-09-28,12
2023-09-29,21
2023-09-30,20
2023-10-01,16
2023-10-02,18
2023-10-03,20
2023-10-04,22
2023-10-05,18
2023-10-06,19
2023-10-07,17
2023-10-08,15
2023-10-09,25
2023-10-10,11
2023-10-11,15
2023-10-12,12
2023-10-13,20
2023-10-14,17
2023-10-15,13
2023-10-16,13
2023-10-17,10
2023-10-18,13
2023-10-19,20
2023-10-20,15
2023-10-21,22
2023-10-22,14
2023-10-23,20
2023-10-24,14
2023-10-25,21
2023-10-26,14
2023-10-27,14
2023-10-28,12
2023-10-29,16
2023-10-30,9
2023-10-31,13
2023-11-01,12
2023-11-02,15
2023-11-03,12
2023-11-04,13
2023-11-05,16
2023-11-06,18
2023-11-07,16
2023-11-08,12
2023-11-09,19
2023-11-10,8
2023-11-11,16
2023-11-12,17
2023-11-13,21
2023-11-14,13
2023-11-15,15
2023-11-16,13
2023-11-17,15
2023-11-18,12
2023-11-19,16
2023-11-20,12
2023-11-21,16
2023-11-22,12
2023-11-23,27
2023-11-24,26
2023-11-25,15
2023-11-26,0
2023-11-27,10
2023-11-28,9
2023-11-29,13
2023-11-30,8
2023-12-01,14
2023-12-02,7
2023-12-03,11
2023-12-04,10
2023-12-05,8
2023-12-06,10
2023-12-07,16
2023-12-08,8
2023-12-09,16
2023-12-10,19
2023-12-11,15
2023-12-12,20
2023-12-13,12
2023-12-14,0
2023-12-15,7
2023-12-16,12
2023-12-17,17
2023-12-18,9
2023-12-19,11
2023-12-20,67
2023-12-21,100
2023-12-22,42
2023-12-23,22
2023-12-24,20
2023-12-25,16
2023-12-26,18
2023-12-27,15
2023-12-28,11
2023-12-29,8
2023-12-30,12
2023-12-31,11
2024-01-01,0
2024-01-02,16
2024-01-03,20
2024-01-04,9
2024-01-05,12
2024-01-06,10
2024-01-07,15
2024-01-08,0
2024-01-09,9
2024-01-10,10
2024-01-11,8
2024-01-12,23
2024-01-13,13
2024-01-14,0
2024-01-15,9
2024-01-16,9
2024-01-17,0
2024-01-18,0
2024-01-19,9
2024-01-20,0
2024-01-21,10
2024-01-22,8
2024-01-23,10
2024-01-24,8
2024-01-25,11
2024-01-26,11
2024-01-27,12
2024-01-28,15
2024-01-29,25
2024-01-30,19
2024-01-31,10
2024-02-01,11
2024-02-02,8
2024-02-03,12
2024-02-04,11
2024-02-05,7
2024-02-06,8
2024-02-07,0
2024-02-08,12
2024-02-09,9
2024-02-10,8
2024-02-11,10
2024-02-12,7
2024-02-13,14
2024-02-14,0
2024-02-15,15
2024-02-16,9
2024-02-17,12
2024-02-18,0
2024-02-19,10
2024-02-20,13
2024-02-21,13
2024-02-22,13
2024-02-23,12
2024-02-24,12
2024-02-25,12
2024-02-26,9
2024-02-27,11
2024-02-28,10
2024-02-29,14
2024-03-01,12
2024-03-02,9
2024-03-03,16
2024-03-04,9
2024-03-05,9
2024-03-06,8
2024-03-07,9
2024-03-08,8
2024-03-09,15
2024-03-10,8
2024-03-11,13
2024-03-12,0
2024-03-13,14
2024-03-14,13
2024-03-15,12
2024-03-16,10
2024-03-17,13
2024-03-18,7
2024-03-19,8
2024-03-20,7
2024-03-21,12
2024-03-22,12
2024-03-23,8
2024-03-24,13
2024-03-25,10
2024-03-26,11
2024-03-27,14
2024-03-28,9
2024-03-29,12
2024-03-30,9
2024-03-31,16
2024-04-01,14
2024-04-02,9
2024-04-03,10
2024-04-04,9
2024-04-05,8
2024-04-06,11
2024-04-07,14
2024-04-08,7
2024-04-09,10
2024-04-10,11
2024-04-11,11
2024-04-12,0
2024-04-13,12
2024-04-14,18
2024-04-15,13
2024-04-16,15
2024-04-17,14
2024-04-18,12
2024-04-19,9
2024-04-20,15
2024-04-21,16
2024-04-22,7
2024-04-23,8
2024-04-24,12
2024-04-25,11
2024-04-26,12
2024-04-27,15
2024-04-28,15
2024-04-29,12
2024-04-30,11
2024-05-01,11
2024-05-02,12
2024-05-03,13
2024-05-04,15
2024-05-05,15
